brand|name_perfume|family|subfamily|fragrances|ingredients|origin|gender|years|description|image_name
Fiorucci|Wallstreet|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher|['Jasmine', 'Lemon', 'Spicy Notes', 'Gardenia', 'Rose', 'Bergamot', 'Mint', 'Pepper']|Brazil|Male|2015|A modern aroma, ideal for urban men and that highlights their strengths in everyday life.|jsunc6exf3hcx3bfbnx0jw5f2s4zske1770lzwplo5hn2v4ky2qh4lxan392-w500-q85.jpg
Givenchy|Désinvolte|FLORAL|FLORAL|Floral Fresher White Flower|['Orange Blossom', 'Jasmine (Grandiflorum)', 'Vetiver (Haiti)', 'Magnolia', 'Tuberose']|France|Unisex|2021|Désinvolte is a generous bouquet of white flowers with a strong temperament, where naturalness and refinement complement each other. An invitation to experience The Great Givenchy Style.|iui51coumnkhypsmwlvlswjeo3qdst1mee7xanig3zq9xxcvj9wqf679pci9-w500-q85.jpg
Issey Miyake|L'Eau D'Issey Shade Of Sunrise 2019|FLORAL|FLORAL|Floral Fresher White Flower|['Jasmine', 'Ylang-ylang', 'Heliotrope', 'Osmanthus', 'Rose', 'Bergamot', 'Cedarwood', 'Lemon', 'Sandalwood']|Japan|Female|2019|"Day 1, 5:45 am. "" evokes a joyous, exciting and carefree holiday atmosphere and surrounds you with lightness and freshness."""|ufrzbh341nph8c35z1actgcufh53y134hrnun1jthvtkttf3b1f0cvpcdtrj-w500-q85.jpg
Guess|Guess Night|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Fresher Aromatic|['Geranium', 'Chilipepper', 'Patchouli (Indonesia)', 'Ciste Labdanum', 'Elemi', 'Grapefruit', 'Vanilla', 'Cedarwood (Texas)', 'Cedarwood (Virginia)', 'Vetiver (Haiti)']|United States of America|Male|2013|Confidence owns the night. A sexy energy that can be felt the minute you walk into a room. Adrenaline created by the excitement and adventure of the nightlife. He doesn't prepare for the night, he owns it!|meyc1xid3cdr4nwqmgmjocw84s57te73kpo5hdhnntuj1jx9bwrngjlupief-w500-q85.jpg
Tfk|Signature Line : Nº 32|FLORAL|CITRUS|Floral Crisp Citrus Fruity|['Bergamot', 'Iris / Orris', 'Jasmine', 'Neroli', 'Rose', 'Aldehyde', 'Musk', 'Oakmoss', 'Vetiver']||Unisex|2015|32 is a rich perfume, enhanced by a bouquet of flowers and citrus notes, and warmed by woody notes.|4x263jhomb3kilrjxl49figkykzrtvxinqk7djko17cvse4qy3g6injs57pt-w500-q85.jpg
Filippo Sorcinelli|Opus 1144|WOODY|AMBERY (ORIENTAL)|Woody Amber Classical|['Cashmeran (Woody musky)', 'Benzoin', 'Sandalwood', 'Amber', 'Elemi', 'Iris / Orris', 'Orchid', 'Vanilla', 'Jasmine', 'Leather', 'Lemon', 'Mandarin', 'Musk']|Italy|Unisex|2015|Inspired by Gothicism (circa 1144), Opus 1144 is a monument of intricate purity.|7yg46b3htj5yfhfoz5c2hqsxvm6u2hb1xixcijp64dfaaip0c61qcpvqicze-w500-q85.jpg
Mind Games|Sans Voir|WOODY|WATERY|Woods Fresher Water|['Palo Santo', 'Rose', 'Guaiac Wood', 'Sea Water', 'Freesia', 'Grapefruit', 'Incense / Olibanum', 'Musk']|United States of America|Unisex|2023|Surrender your senses and allow Sans Voir to guide you on a transcendent odyssey that awakens your imagination and liberates your intuition.|fdbrq17pfknnkox1rcey28yf1yly58jnwxbgyifh49iwxi0vd55hpj16lthg-w500-q85.jpg
Swiss Arabian|Rose 01|FLORAL|FLORAL|Floral Crisp Rose|['Rose (Bulgaria)', 'Pink Pepper', 'Musk', 'Peony', 'Bergamot', 'Lychee', 'Cashmeran (Woody musky)', 'Nutmeg', 'Vanilla']||Female|2021|Rose 01 is a floral fantasy that transports you to a mythical garden worthy of a goddess.|2g55rwqrn98zqujwhhrbgo5dq3anryl8kwxg2havvdkmz0j1sivl80nnye6b-w500-q85.jpg
Laura Biagiotti|Blu Di Roma Uomo|WOODY|CITRUS|Woods Fresher|['Lemon', 'Leather', 'Grapefruit', 'Artemisia', 'Cardamom', 'Musk']|Italy|Male|2014|Blu di Roma, a romantic, intense, and fresh fragrance inspired by the splendor of the blue shades of Roman summer, the enchantment of an adventure in the city that more than anything invites you to the dream of an endless holiday.|p6ggrfhlf6qs1uq797kkojgw7kujbaiy092tmaal5fho08dwr3bjkqs9lp53-w500-q85.jpg
Oscar|Big Shot White|CHYPRE|CITRUS|Mossy Woods Crisp|['Bergamot', 'Oakmoss', 'Jasmine', 'Neroli', 'Patchouli', 'Galbanum', 'Amber', 'Geranium', 'Musk', 'Rose']||Male|2023|An intriguing fragrance that is sure to make an impression.|kddg0qynxggrldxphvgjeo45aiok1uws6xkeiefgzralu3mjpgntskbpujvr-w500-q85.jpg
